ID,Date,Link,Country,State,District,Lon,Lat,Keyword,Source,WeekNumber,Type
91,29-01-21,https://www.tribuneindia.com/news/jalandhar/monitor-wheat-crop-regularly-says-expert-205329,India,Punjab,Hoshiarpur,75.8446,31.6273,yellow+rust+long+stripes+200gms+caviat+120gms+nativo+200ml+opera+200ml+propiconazole,tribuneindia,4,yellow rust
92,12-02-21,https://iiwbr.icar.gov.in/wp-content/uploads/2021/03/Wheat-Crop-Health-Newsletter-February-2021.pdf,India,Bihar,Bhagalpur,87.006223,25.241735,leaf rust,iiwbr newsletter,6,leaf rust
93,17-02-21,https://iiwbr.icar.gov.in/wp-content/uploads/2021/03/Wheat-Crop-Health-Newsletter-February-2021.pdf,India,Himachal Pradesh,Kangra,76.3022,32.1103,yellow rust,iiwbr newsletter,7,yellow rust
94,17-02-21,https://iiwbr.icar.gov.in/wp-content/uploads/2021/03/Wheat-Crop-Health-Newsletter-February-2021.pdf,India,Himachal Pradesh,Kangra,76.3022,32.1103,yellow rust,iiwbr newsletter,7,yellow rust
95,17-02-21,https://iiwbr.icar.gov.in/wp-content/uploads/2021/03/Wheat-Crop-Health-Newsletter-February-2021.pdf,India,Himachal Pradesh,Kangra,76.3022,32.1103,yellow rust,iiwbr newsletter,7,yellow rust
96,24-02-21,https://iiwbr.icar.gov.in/wp-content/uploads/2021/03/Wheat-Crop-Health-Newsletter-February-2021.pdf,India,Maharashtra,Nashik,73.933338,20.170055,leaf rust,iiwbr newsletter,8,leaf rust
97,24-02-21,https://iiwbr.icar.gov.in/wp-content/uploads/2021/03/Wheat-Crop-Health-Newsletter-February-2021.pdf,India,Maharashtra,Palghar,73.862184,20.35283,leaf rust,iiwbr newsletter,8,leaf rust
98,25-02-21,https://iiwbr.icar.gov.in/wp-content/uploads/2021/03/Wheat-Crop-Health-Newsletter-February-2021.pdf,India,Jammu and Kashmir,Jammu,74.856796,32.725823,yellow rust,iiwbr newsletter,8,yellow rust
99,25-02-21,https://iiwbr.icar.gov.in/wp-content/uploads/2021/03/Wheat-Crop-Health-Newsletter-February-2021.pdf,India,Jammu and Kashmir,Samba,75.104204,32.554284,yellow rust,iiwbr newsletter,8,yellow rust
100,28-02-21,https://www.tribuneindia.com/news/haryana/increase-in-temperature-may-affect-wheat-yield-experts-218495,India,Haryana,Ambala,76.9661,30.3585,yellow+rust+2.5 acre+propiconazole,tribuneindia,8,yellow rust
101,22-12-21,https://iiwbr.icar.gov.in/wp-content/uploads/2022/01/Wheat-Crop-Health-Newsletter-December-2021.pdf,India,Karnataka,Dharwad,75.1563,15.3865,leaf rust,iiwbr newsletter,51,leaf rust
102,22-12-21,https://iiwbr.icar.gov.in/wp-content/uploads/2022/01/Wheat-Crop-Health-Newsletter-December-2021.pdf,India,Karnataka,Belgaum,74.8279,16.1178,leaf rust,iiwbr newsletter,51,leaf rust
103,03-01-22,https://iiwbr.icar.gov.in/wp-content/uploads/2022/02/Wheat-Health-Newsletter-Jan-2022.pdf,India,Maharashtra,Pune,74.0766,18.5705,leaf rust,iiwbr newsletter,2,leaf rust
104,14-01-22,https://iiwbr.icar.gov.in/wp-content/uploads/2022/02/Wheat-Health-Newsletter-Jan-2022.pdf,India,Punjab,Rupnagar,76.4728,31.0625,yellow+rust+HD2967+HD3086,iiwbr newsletter,2,yellow rust
105,20-01-22,https://iiwbr.icar.gov.in/wp-content/uploads/2022/02/Wheat-Health-Newsletter-Jan-2022.pdf,India,Himachal Pradesh,Kangra,76.3022,32.1103,yellow+rust+HPW368+PBW343+HD3226+low+intensity,iiwbr newsletter,3,yellow rust
106,24-01-22,https://iiwbr.icar.gov.in/wp-content/uploads/2022/02/Wheat-Health-Newsletter-Jan-2022.pdf,India,Maharashtra,Nashik,74.0778,20.26,leaf+rust,iiwbr newsletter,4,leaf rust
